abaşladılar başladılar
abdulügani Abdülgani
açıyormuşçasına açıyormuşcasına
acmendilerin aczmendilerin
aczimendilerin aczmendilerin
aczimendilik aczmendilik
afaroz aforoz
ağırlğına ağırlığına
akibeti akıbeti
akibetlerden akıbetlerden
akibetleri akıbetleri
akradaşlarını arkadaşlarını
aktueryal aktüeryal
alındağında alındığında
almladan almadan
amadora armadora
amborgosunun ambargosunun
anektot anekdot
ansiklobediniz ansiklopediniz
antibiotiklerin antibiyotiklerin
arayıpta arayışta
aritmatiğinde aritmetiğinde
arkadaşlarımızıla arkadaşlarımızla
arsenis arsenik
arşetip arketip
asagari asgari
aşınıdırılması aşındırılması
astsolist assolist
avuktlığını avukatlığını
azımsayabaleceğimiz azımsayabileceğimiz
baaşrısız başarısız
bağırıyormuşçasına bağırıyormuşcasına
baknalığı bakanlığı
balirtti belirtti
balkus baykuş
basketbolün basketbolun
başörütüsü başörtüsü
bateman batman
bayandırlık bayındırlık
bekliyormusunuz bekliyormuşsunuz
belirleyiceği belirleyeceği
berirtiyor belirtiyor
bermutad bermutat
beyanet beyanat
beyanmamenin beyannamenin
beyannmesine beyannamesine
beyennamesi beyannamesi
bibliografik bibliyografik
bilderek bilerek
biniyolardı biniyorlardı
birifing brifing
biterememiş bitirememiş
boyundurluğu boyunduruğu
büçtesinin bütçesinin
çabansalatası çobansalatası
cahaletin cehaletin
çalışalacaktır çalışılacaktır
çarptınrılmıştı çarptırılmıştı
çavaldızı çuvaldızı
cemyeti cemiyeti
ceramic seramik
çercevede çerçevede
cerehat cerahat
cesaretlerdirdiğini cesaretlendirdiğini
çeverelerinin çevrelerinin
cevtvele cetvele
cezaeveleri cezaevleri
cimnastiği jimnastiği
cimnastikte jimnastikte
cumhpuriyeti cumhuriyeti
dağıtalarak dağıtılarak
değerelendirmişti değerlendirmişti
demogoji demagoji
demokras demokrat
demoraf demograf
dersaneciliğin dershaneciliğin
dersanin dersinin
deskteklerden desteklerden
destimal desimal
devamet devam
dhkc dhkpc
dikiliyormuşçasına dikiliyormuşcasına
dikiyolar dikiyorlar
dimokrat demokrat
dinanmizmi dinamizmi
diyaspora diaspora
diyasporalara diasporalara
dımdıme Didim'e
dısişleri dışişleri
doışına dışına
dökümantasyonun dokümantasyonun
dolayısile dolayısıyla
domestic domestik
döpyeslerde döpiyeslerde
dörtlüyeceğim dörtleyeceğim
düğümlenyor düğümleniyor
dükalığı dukalığı
düşünebilecğiz düşünebileceğiz
duşurmalarda duyurmalarda
düşürülmasi düşürülmesi
